,Date,Open,High,Low,Close,Volume,Turnover (₹ Cr),SMA_20,EMA_10,RSI,Returns,Volatility
88,2024-04-30,22679.65,22783.35,22568.4,22604.85,361859375.0,38741.7,22443.4575,22462.444728771705,48.36521322727392,-0.0017024828426828176,0.006263680178542372
89,2024-05-02,22567.85,22710.5,22567.85,22648.2,445909456.0,43133.31,22452.767499999998,22496.218414449577,50.1434776885613,0.001917730044658672,0.006142683170378519
90,2024-05-03,22766.35,22794.7,22348.05,22475.85,438060727.0,44432.55,22453.895,22492.515066367836,42.911427915635926,-0.007609876281558847,0.006400219336130172
91,2024-05-06,22561.6,22588.8,22409.45,22442.7,320255789.0,33417.53,22454.2975,22483.457781573685,47.82015574376172,-0.0014749164102803025,0.006406607679905436
92,2024-05-07,22489.75,22499.05,22232.05,22302.5,297815469.0,31512.26,22443.690000000002,22450.556366742105,50.9076606559361,-0.006247020189192987,0.006497277282312107
93,2024-05-08,22231.2,22368.65,22185.2,22302.5,277438692.0,29717.33,22433.13,22423.637027334447,55.05890052356013,0.0,0.006497424612470108
94,2024-05-09,22224.8,22307.75,21932.4,21957.5,331327454.0,37870.88,22397.690000000002,22338.884840546365,48.885789825387185,-0.01546911781190452,0.007073476064834231
95,2024-05-10,21990.95,22131.3,21950.3,22055.2,265804411.0,28717.71,22368.3125,22287.305778628845,47.24737631184411,0.0044495047250370234,0.007200225074070593
96,2024-05-13,22027.95,22131.65,21821.05,22104.05,278186886.0,29036.08,22335.825,22253.98654615087,42.39169586430459,0.0022148971671078765,0.007102921455205203
97,2024-05-14,22112.9,22270.05,22081.25,22217.85,230238941.0,23741.66,22320.7475,22247.41626503253,45.33449336606279,0.005148377785971325,0.006924452094159205
98,2024-05-15,22255.6,22297.55,22151.75,22200.55,231935478.0,23815.79,22317.15,22238.895125935705,43.66068904871071,-0.000778653200017021,0.006486774520274534
99,2024-05-16,22319.2,22432.25,22054.55,22403.85,368945092.0,38836.11,22329.9475,22268.88692122012,44.88447830895909,0.009157430784372478,0.006670238903137368
100,2024-05-17,22415.25,22502.15,22345.65,22466.1,242654570.0,27388.67,22353.46,22304.743844634642,51.499106707812174,0.002778540295529597,0.006447342720111782
101,2024-05-18,22512.85,22520.25,22470.05,22502.0,19064566.0,1572.77,22371.21,22340.608600155614,44.76954945624025,0.0015979631533733496,0.006304170988801236
102,2024-05-21,22404.55,22591.1,22404.55,22529.05,347591587.0,30782.35,22380.8425,22374.87067285459,47.17206387106405,0.0012021153675227936,0.006037983796455733
103,2024-05-22,22576.6,22629.5,22483.15,22597.8,290345590.0,28556.14,22392.332499999997,22415.40327779012,48.15465729349731,0.003051615580772271,0.006062836528795758
104,2024-05-23,22614.1,22993.6,22577.45,22967.65,369767547.0,39157.65,22420.595,22515.81177273737,65.73155908131288,0.016366637460283773,0.007023378369227646
105,2024-05-24,22930.75,23026.4,22908.0,22957.1,261927120.0,27966.99,22439.9325,22596.045995876026,66.69587796170063,-0.0004593417262978017,0.006875898216849993
106,2024-05-27,23038.95,23110.8,22871.2,22932.45,260006078.0,27204.54,22465.5575,22657.2103602622,72.10428436085478,-0.001073741892486324,0.00666379124345514
107,2024-05-28,22977.15,22998.55,22858.5,22888.15,217890750.0,23054.65,22477.795000000002,22699.19938566907,69.93023651522891,-0.0019317604529824894,0.006359601524352906
108,2024-05-29,22762.75,22825.5,22685.45,22704.7,269932784.0,27549.09,22482.7875,22700.199497365604,78.56924371033114,-0.008015064563977492,0.006628595820726699
109,2024-05-30,22617.45,22705.75,22417.0,22488.65,373374457.0,32991.46,22474.81,22661.735952390038,65.19757371761162,-0.009515650944518117,0.006961087917378462
110,2024-05-31,22568.1,22653.75,22465.1,22530.7,572122639.0,67040.32,22477.552499999998,22637.911233773666,65.03082614056726,0.0018698321153114428,0.006759146690578683
111,2024-06-03,23337.9,23338.7,23062.3,23263.9,569425569.0,56418.25,22518.6125,22751.727373087542,75.65545826895254,0.03254226455458564,0.00988681167062731
112,2024-06-04,23179.5,23179.5,21281.45,21884.5,1006105058.0,93786.44,22497.7125,22594.049668889806,45.35323090494745,-0.05929358362097503,0.016841242163407953
